
Standard & Poors 500 Index,Last: 4600.4502,Change:  -62.3998
"Date: January 18, 2022, 3:17 PM EST",Bid: 4599.6602,Ask: 4601.6201,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Jan 18 2022,SPXW220118C03100000,0,0,1491.5,1509.1,0,0,1,0,0,3100.00,SPXW220118P03100000,0.05,0,0,0.05,0,0,0,0,1202
Tue Jan 18 2022,SPXW220118C03200000,0,0,1391.5,1409.1,0,0,1,0,0,3200.00,SPXW220118P03200000,0.05,0,0,0.05,0,0,0,0,176
Tue Jan 18 2022,SPXW220118C03300000,0,0,1297.6,1303,0,0,1,0,0,3300.00,SPXW220118P03300000,0.05,0,0,0.05,0,0,0,0,81
Tue Jan 18 2022,SPXW220118C03400000,0,0,1197.6,1203,0,0,1,0,0,3400.00,SPXW220118P03400000,0.05,0,0,0.05,0,8.4442,0,0,413
Tue Jan 18 2022,SPXW220118C03450000,0,0,1147.6,1153,0,0,1,0,0,3450.00,SPXW220118P03450000,0.05,0,0,0.05,0,8.0594,0,0,397
Tue Jan 18 2022,SPXW220118C03500000,1107.8,-53.45,1097.6,1103,4,0,1,0,6,3500.00,SPXW220118P03500000,0.05,0,0,0.05,0,7.6793,0,0,315
Tue Jan 18 2022,SPXW220118C03550000,0,0,1047.6,1053,0,0,1,0,0,3550.00,SPXW220118P03550000,0.15,0,0,0.05,0,7.3038,0,0,91
Tue Jan 18 2022,SPXW220118C03600000,998,-63.3,997.6,1003,6,8.2856,1,0,4,3600.00,SPXW220118P03600000,0.05,0,0,0.05,0,6.9326,0,0,3464
Tue Jan 18 2022,SPXW220118C03650000,0,0,947.6,953,0,7.8566,1,0,0,3650.00,SPXW220118P03650000,0.07,0,0,0.05,0,6.5656,0,0,4066
Tue Jan 18 2022,SPXW220118C03675000,0,0,922.6,928,0,7.6438,1,0,0,3675.00,SPXW220118P03675000,0.05,0,0,0.05,0,6.3837,0,0,660
Tue Jan 18 2022,SPXW220118C03700000,0,0,897.6,903,0,7.432,1,0,0,3700.00,SPXW220118P03700000,0.05,0,0,0.05,0,6.2027,0,0,4138
Tue Jan 18 2022,SPXW220118C03725000,0,0,872.6,878,0,7.2213,1,0,0,3725.00,SPXW220118P03725000,0.05,0,0,0.05,0,6.0227,0,0,357
Tue Jan 18 2022,SPXW220118C03750000,875.65,0,847.6,853,0,7.0116,1,0,20,3750.00,SPXW220118P03750000,0.05,0,0,0.05,0,5.8436,0,0,3298
Tue Jan 18 2022,SPXW220118C03775000,846.53,0,822.6,828,0,6.8028,1,0,10,3775.00,SPXW220118P03775000,0.05,0,0,0.05,0,5.6654,0,0,1672
Tue Jan 18 2022,SPXW220118C03800000,0,0,797.6,803,0,6.595,1,0,0,3800.00,SPXW220118P03800000,0.05,0,0,0.05,0,5.4881,0,0,18441
Tue Jan 18 2022,SPXW220118C03825000,0,0,772.6,778,0,6.3881,1,0,0,3825.00,SPXW220118P03825000,0.05,0,0,0.05,0,5.3117,0,0,1202
Tue Jan 18 2022,SPXW220118C03850000,0,0,747.6,753,0,6.1821,1,0,0,3850.00,SPXW220118P03850000,0.05,0,0,0.05,0,5.1362,0,0,3848
Tue Jan 18 2022,SPXW220118C03875000,0,0,722.6,728,0,5.977,1,0,0,3875.00,SPXW220118P03875000,0.05,0,0,0.05,0,4.9614,0,0,1067
Tue Jan 18 2022,SPXW220118C03900000,700,-61.25,697.6,703,1,5.7726,1,0,2,3900.00,SPXW220118P03900000,0.05,0,0,0.05,0,4.7874,0,0,2957
Tue Jan 18 2022,SPXW220118C03925000,0,0,672.6,678,0,5.569,1,0,0,3925.00,SPXW220118P03925000,0.05,0,0,0.05,0,4.6142,0,0,588
Tue Jan 18 2022,SPXW220118C03950000,0,0,647.6,653,0,5.3662,1,0,0,3950.00,SPXW220118P03950000,0.05,0,0,0.05,0,4.4418,0,0,6517
Tue Jan 18 2022,SPXW220118C03975000,0,0,622.6,628,0,5.164,1,0,0,3975.00,SPXW220118P03975000,0.05,0,0,0.05,0,4.27,0,0,1462
Tue Jan 18 2022,SPXW220118C04000000,0,0,597.6,603,0,4.9626,1,0,0,4000.00,SPXW220118P04000000,0.05,-0.025,0,0.05,2,4.0989,0,0,6462
Tue Jan 18 2022,SPXW220118C04025000,0,0,572.6,578,0,4.7617,1,0,0,4025.00,SPXW220118P04025000,0.05,0,0,0.05,0,3.9285,0,0,1892
Tue Jan 18 2022,SPXW220118C04050000,573.42,0,547.6,553,0,4.5614,1,0,1,4050.00,SPXW220118P04050000,0.07,0,0,0.05,0,3.7587,0,0,14038
Tue Jan 18 2022,SPXW220118C04075000,0,0,522.6,528,0,4.3616,1,0,0,4075.00,SPXW220118P04075000,0.07,0,0,0.05,0,3.5895,0,0,6637
Tue Jan 18 2022,SPXW220118C04100000,0,0,497.6,503,0,4.1623,1,0,0,4100.00,SPXW220118P04100000,0.05,-0.025,0,0.05,5,3.4208,0,0,18078
Tue Jan 18 2022,SPXW220118C04110000,0,0,487.6,493,0,4.0828,1,0,0,4110.00,SPXW220118P04110000,0.07,0,0,0.05,0,3.3534,0,0,784
Tue Jan 18 2022,SPXW220118C04120000,0,0,477.6,483,0,4.0032,1,0,0,4120.00,SPXW220118P04120000,0.05,-0.025,0,0.05,10,3.2862,0,0,317
Tue Jan 18 2022,SPXW220118C04125000,0,0,472.6,478,0,3.9635,1,0,0,4125.00,SPXW220118P04125000,0.1,0,0,0.05,0,3.2526,0,0,1168
Tue Jan 18 2022,SPXW220118C04130000,499.97,0,467.6,473,0,3.9238,1,0,10,4130.00,SPXW220118P04130000,0.05,-0.025,0,0.05,1,3.219,0,0,1734
Tue Jan 18 2022,SPXW220118C04140000,489.94,0,457.6,463,0,3.8444,1,0,10,4140.00,SPXW220118P04140000,0.07,0,0,0.05,0,3.1519,0,0,1629
Tue Jan 18 2022,SPXW220118C04150000,0,0,447.6,453,0,3.765,1,0,0,4150.00,SPXW220118P04150000,0.05,-0.025,0,0.05,4,3.0849,0,0,19106
Tue Jan 18 2022,SPXW220118C04160000,0,0,437.6,443,0,3.6858,1,0,0,4160.00,SPXW220118P04160000,0.12,0,0,0.05,0,3.018,0,0,717
Tue Jan 18 2022,SPXW220118C04170000,424.84,-66.51,427.6,433,2,3.6065,1,0,3,4170.00,SPXW220118P04170000,0.15,0,0,0.05,0,2.9511,0,0,4319
Tue Jan 18 2022,SPXW220118C04175000,0,0,422.6,428,0,3.5669,1,0,0,4175.00,SPXW220118P04175000,0.1,0,0,0.05,0,2.9177,0,0,1198
Tue Jan 18 2022,SPXW220118C04180000,0,0,417.6,423,0,3.5273,1,0,0,4180.00,SPXW220118P04180000,0.15,0,0,0.05,0,2.8843,0,0,620
Tue Jan 18 2022,SPXW220118C04190000,0,0,407.6,413,0,3.4481,1,0,0,4190.00,SPXW220118P04190000,0.1,0,0,0.05,0,2.8175,0,0,781
Tue Jan 18 2022,SPXW220118C04200000,394.22,-67.33,397.6,403,1,3.369,1,0,2,4200.00,SPXW220118P04200000,0.05,-0.025,0,0.05,23,2.7508,0,0,1898
Tue Jan 18 2022,SPXW220118C04210000,0,0,387.6,393,0,3.2899,1,0,0,4210.00,SPXW220118P04210000,0.25,0,0,0.05,0,2.6842,0,0,983
Tue Jan 18 2022,SPXW220118C04220000,0,0,377.6,383,0,3.2108,1,0,0,4220.00,SPXW220118P04220000,0.05,-0.05,0,0.05,30,2.6176,0,0,111
Tue Jan 18 2022,SPXW220118C04225000,0,0,372.6,378,0,3.1713,1,0,0,4225.00,SPXW220118P04225000,0.1,0,0,0.05,0,2.5843,0,0,567
Tue Jan 18 2022,SPXW220118C04230000,0,0,367.6,373,0,3.1317,0.9999,0,0,4230.00,SPXW220118P04230000,0.1,0,0,0.05,0,2.551,-0.0001,0,55
Tue Jan 18 2022,SPXW220118C04240000,0,0,357.6,363,0,3.0527,0.9999,0,0,4240.00,SPXW220118P04240000,0.05,-0.05,0,0.05,30,2.4846,-0.0001,0,215
Tue Jan 18 2022,SPXW220118C04250000,0,0,347.6,353,0,2.9736,0.9999,0,0,4250.00,SPXW220118P04250000,0.05,-0.05,0,0.05,113,2.4181,-0.0001,0,1620
Tue Jan 18 2022,SPXW220118C04260000,0,0,337.6,343,0,2.8945,0.9998,0,0,4260.00,SPXW220118P04260000,0.05,-0.05,0,0.05,25,2.3517,-0.0002,0,475
Tue Jan 18 2022,SPXW220118C04270000,449.05,0,327.6,333,0,2.8154,0.9997,0,2,4270.00,SPXW220118P04270000,0.05,-0.05,0,0.05,117,2.2853,-0.0003,0,1013
Tue Jan 18 2022,SPXW220118C04275000,0,0,322.6,328,0,2.7759,0.9996,0,0,4275.00,SPXW220118P04275000,0.05,-0.05,0,0.05,238,2.2521,-0.0004,0,767
Tue Jan 18 2022,SPXW220118C04280000,0,0,317.6,323,0,2.7363,0.9995,0,0,4280.00,SPXW220118P04280000,0.05,-0.05,0,0.05,17,2.2189,-0.0005,0,252
Tue Jan 18 2022,SPXW220118C04290000,0,0,307.6,313,0,2.6572,0.9993,0,0,4290.00,SPXW220118P04290000,0.05,-0.05,0,0.05,243,2.1526,-0.0007,0,339
Tue Jan 18 2022,SPXW220118C04300000,294.44,-67.06,297.6,303,2,2.578,0.999,0,2,4300.00,SPXW220118P04300000,0.05,-0.05,0,0.05,10,2.0862,-0.001,0,2227
Tue Jan 18 2022,SPXW220118C04310000,0,0,287.6,293,0,2.4987,0.999,0,0,4310.00,SPXW220118P04310000,0.05,-0.075,0,0.05,9,2.0199,-0.001,0,381
Tue Jan 18 2022,SPXW220118C04320000,0,0,277.6,283,0,2.4194,0.999,0,0,4320.00,SPXW220118P04320000,0.15,0,0,0.05,0,1.9536,-0.001,0,324
Tue Jan 18 2022,SPXW220118C04325000,272.54,-63.76,272.6,278,1,2.3798,0.999,0,1,4325.00,SPXW220118P04325000,0.05,-0.05,0,0.05,2,1.9204,-0.001,0,633
Tue Jan 18 2022,SPXW220118C04330000,0,0,267.6,273,0,2.3401,0.9989,0,0,4330.00,SPXW220118P04330000,0.05,-0.05,0,0.05,2,1.8872,-0.0011,0,206
Tue Jan 18 2022,SPXW220118C04335000,0,0,262.6,268.1,0,2.3535,0.9989,0,0,4335.00,SPXW220118P04335000,0.05,-0.075,0,0.05,1,1.854,-0.0011,0,90
Tue Jan 18 2022,SPXW220118C04340000,0,0,257.6,263.1,0,2.3131,0.9989,0,0,4340.00,SPXW220118P04340000,0.05,-0.075,0,0.05,27,1.8209,-0.0011,0,97
Tue Jan 18 2022,SPXW220118C04345000,0,0,252.6,258.1,0,2.2726,0.9989,0,0,4345.00,SPXW220118P04345000,0.05,-0.1,0,0.05,1,1.7877,-0.0011,0,95
Tue Jan 18 2022,SPXW220118C04350000,0,0,247.6,253,0,2.1811,0.9989,0,0,4350.00,SPXW220118P04350000,0.05,-0.1,0,0.05,250,1.7545,-0.0011,0,3538
Tue Jan 18 2022,SPXW220118C04355000,304.49,0,242.6,248,0,2.1414,0.9988,0,2,4355.00,SPXW220118P04355000,0.61,0,0,0.05,0,1.7213,-0.0012,0,543
Tue Jan 18 2022,SPXW220118C04360000,233.9,0,237.6,243.1,0,2.151,0.9988,0,1,4360.00,SPXW220118P04360000,0.05,-0.075,0,0.05,5,1.6881,-0.0012,0,495
Tue Jan 18 2022,SPXW220118C04365000,0,0,232.6,238.1,0,2.1104,0.9988,0,0,4365.00,SPXW220118P04365000,0.05,-0.075,0,0.05,32,1.6549,-0.0012,0,254
Tue Jan 18 2022,SPXW220118C04370000,227,0,227.6,233.1,0,2.0698,0.9988,0,1,4370.00,SPXW220118P04370000,0.05,-0.075,0,0.05,2,1.6216,-0.0012,0,1185
Tue Jan 18 2022,SPXW220118C04375000,204.34,-81.81,222.6,228,2,1.9819,0.9988,0,1,4375.00,SPXW220118P04375000,0.05,-0.075,0,0.05,2040,1.5884,-0.0012,0,1616
Tue Jan 18 2022,SPXW220118C04380000,0,0,217.6,223.1,0,1.9884,0.9987,0.0001,0,4380.00,SPXW220118P04380000,0.05,-0.075,0,0.05,53,1.5552,-0.0013,0.0001,4250
Tue Jan 18 2022,SPXW220118C04385000,0,0,212.6,218,0,1.902,0.9987,0.0001,0,4385.00,SPXW220118P04385000,0.2,0,0,0.05,0,1.5219,-0.0013,0.0001,497
Tue Jan 18 2022,SPXW220118C04390000,0,0,207.6,213,0,1.8619,0.9987,0.0001,0,4390.00,SPXW220118P04390000,0.07,-0.08,0,0.05,3,1.4886,-0.0013,0.0001,533
Tue Jan 18 2022,SPXW220118C04395000,0,0,202.6,208,0,1.8218,0.9987,0.0001,0,4395.00,SPXW220118P04395000,0.05,-0.1,0,0.05,200,1.4553,-0.0013,0.0001,535
Tue Jan 18 2022,SPXW220118C04400000,190.39,-71.16,197.6,203,3,1.7817,0.9986,0.0001,8,4400.00,SPXW220118P04400000,0.05,-0.125,0,0.05,351,1.422,-0.0014,0.0001,2618
Tue Jan 18 2022,SPXW220118C04405000,0,0,192.6,198.1,0,1.7841,0.9986,0.0001,0,4405.00,SPXW220118P04405000,0.05,-0.1,0,0.05,207,1.3887,-0.0014,0.0001,922
Tue Jan 18 2022,SPXW220118C04410000,211.7,0,187.6,193,0,1.7014,0.9986,0.0001,2,4410.00,SPXW220118P04410000,0.05,-0.1,0,0.05,83,1.3553,-0.0014,0.0001,541
Tue Jan 18 2022,SPXW220118C04415000,0,0,182.6,188,0,1.6611,0.9985,0.0001,0,4415.00,SPXW220118P04415000,0.05,-0.1,0,0.05,103,1.322,-0.0015,0.0001,267
Tue Jan 18 2022,SPXW220118C04420000,240,0,177.6,183,0,1.6208,0.9985,0.0001,2,4420.00,SPXW220118P04420000,0.05,-0.15,0,0.05,1776,1.2886,-0.0015,0.0001,300
Tue Jan 18 2022,SPXW220118C04425000,231.93,0,172.6,178,0,1.5804,0.9985,0.0001,2,4425.00,SPXW220118P04425000,0.05,-0.15,0,0.05,909,1.2551,-0.0015,0.0001,1365
Tue Jan 18 2022,SPXW220118C04430000,0,0,167.6,173,0,1.5399,0.9984,0.0001,0,4430.00,SPXW220118P04430000,0.05,-0.15,0,0.05,925,1.2217,-0.0016,0.0001,607
Tue Jan 18 2022,SPXW220118C04435000,0,0,162.6,168,0,1.4994,0.9984,0.0001,0,4435.00,SPXW220118P04435000,0.05,-0.15,0,0.05,316,1.1882,-0.0016,0.0001,239
Tue Jan 18 2022,SPXW220118C04440000,205.02,0,157.6,163,0,1.4588,0.9984,0.0001,3,4440.00,SPXW220118P04440000,0.05,-0.15,0,0.05,564,1.1546,-0.0016,0.0001,687
Tue Jan 18 2022,SPXW220118C04445000,210.57,0,152.6,158,0,1.4181,0.9983,0.0001,0,4445.00,SPXW220118P04445000,0.05,-0.15,0,0.05,212,1.1211,-0.0017,0.0001,115
Tue Jan 18 2022,SPXW220118C04450000,152.89,-59.01,150.1,151.3,40,1.6056,0.993,0.0003,71,4450.00,SPXW220118P04450000,0.05,-0.175,0,0.05,1035,1.0875,-0.0018,0.0001,2851
Tue Jan 18 2022,SPXW220118C04455000,147.82,-58.23,145.1,146.3,38,1.5596,0.9928,0.0003,69,4455.00,SPXW220118P04455000,0.05,-0.2,0,0.05,320,1.0538,-0.0018,0.0001,138
Tue Jan 18 2022,SPXW220118C04460000,114.56,-86.54,137.6,143,17,1.2955,0.9982,0.0001,4,4460.00,SPXW220118P04460000,0.05,-0.2,0,0.05,1192,1.0201,-0.0018,0.0001,705
Tue Jan 18 2022,SPXW220118C04465000,0,0,132.6,138,0,1.2545,0.9981,0.0001,0,4465.00,SPXW220118P04465000,0.05,-0.2,0,0.05,824,0.9864,-0.0019,0.0001,512
Tue Jan 18 2022,SPXW220118C04470000,187.93,0,127.6,133,0,1.2133,0.998,0.0001,4,4470.00,SPXW220118P04470000,0.05,-0.25,0,0.05,3119,0.9525,-0.002,0.0001,1173
Tue Jan 18 2022,SPXW220118C04475000,104.96,-79.09,122.6,128,6,1.1721,0.998,0.0001,4,4475.00,SPXW220118P04475000,0.05,-0.25,0,0.05,1132,0.9187,-0.002,0.0001,818
Tue Jan 18 2022,SPXW220118C04480000,113.7,-65.35,117.6,123,1,1.1307,0.9979,0.0002,10,4480.00,SPXW220118P04480000,0.05,-0.3,0,0.05,1516,0.8847,-0.0021,0.0002,752
Tue Jan 18 2022,SPXW220118C04485000,98,-76.15,112.6,117.7,5,0.9596,0.9978,0.0002,20,4485.00,SPXW220118P04485000,0.05,-0.3,0,0.05,1582,0.8507,-0.0022,0.0002,2528
Tue Jan 18 2022,SPXW220118C04490000,108.3,-61.45,107.6,112.7,13,0.9219,0.9977,0.0002,6,4490.00,SPXW220118P04490000,0.05,-0.35,0,0.05,2443,0.8166,-0.0023,0.0002,664
Tue Jan 18 2022,SPXW220118C04495000,97.23,-67.57,102.6,108.4,12,0,0.9976,0.0002,5,4495.00,SPXW220118P04495000,0.05,-0.4,0,0.05,1305,0.7825,-0.0024,0.0002,1793
Tue Jan 18 2022,SPXW220118C04500000,96.91,-62.99,97.8,102.7,33,0.9328,0.9976,0.0002,27,4500.00,SPXW220118P04500000,0.05,-0.425,0,0.05,8596,0.7482,-0.0024,0.0002,4043
Tue Jan 18 2022,SPXW220118C04505000,76.6,-78.8,92.7,98.5,4,1.0457,0.9974,0.0002,2,4505.00,SPXW220118P04505000,0.05,-0.5,0,0.05,2465,0.7139,-0.0026,0.0002,256
Tue Jan 18 2022,SPXW220118C04510000,70.33,-80.47,87.7,93.5,4,0.8157,0.9973,0.0002,13,4510.00,SPXW220118P04510000,0.05,-0.55,0,0.05,5323,0.6795,-0.0027,0.0002,673
Tue Jan 18 2022,SPXW220118C04515000,83.13,-61.37,82.7,88.5,3,0.7756,0.9972,0.0003,3,4515.00,SPXW220118P04515000,0.05,-0.625,0,0.05,3688,0.6449,-0.0028,0.0003,673
Tue Jan 18 2022,SPXW220118C04520000,76.25,-65.8,80.1,81.2,10,0.9585,0.9885,0.0008,3,4520.00,SPXW220118P04520000,0.05,-0.7,0,0.05,5382,0.6102,-0.003,0.0003,1221
Tue Jan 18 2022,SPXW220118C04525000,48,-89.15,75.2,76.2,3,0.9091,0.9879,0.0009,7,4525.00,SPXW220118P04525000,0.07,-0.78,0.05,0.1,6219,0.6475,-0.0075,0.0007,1273
Tue Jan 18 2022,SPXW220118C04530000,53.03,-78.32,70.2,71.2,11,0.8593,0.9872,0.001,12,4530.00,SPXW220118P04530000,0.07,-0.93,0.05,0.1,9325,0.609,-0.0079,0.0007,2704
Tue Jan 18 2022,SPXW220118C04535000,37.95,-87,65.2,66.3,36,0.8091,0.9865,0.0012,3,4535.00,SPXW220118P04535000,0.05,-1.075,0.05,0.1,6951,0.5703,-0.0084,0.0008,624
Tue Jan 18 2022,SPXW220118C04540000,58.61,-62.19,60.5,61.3,177,0.7584,0.9856,0.0013,8,4540.00,SPXW220118P04540000,0.12,-1.155,0.05,0.15,8606,0.551,-0.0112,0.0011,1034
Tue Jan 18 2022,SPXW220118C04545000,53.68,-63.07,55.2,56.3,161,0.7169,0.9846,0.0015,7,4545.00,SPXW220118P04545000,0.13,-1.345,0.1,0.15,7239,0.5262,-0.0142,0.0014,818
Tue Jan 18 2022,SPXW220118C04550000,47.21,-64.39,50.3,51.3,219,0.6735,0.9752,0.0023,33,4550.00,SPXW220118P04550000,0.18,-1.52,0.15,0.2,24229,0.5087,-0.0198,0.002,2212
Tue Jan 18 2022,SPXW220118C04555000,48.44,-58.96,45.3,46.4,118,0.6361,0.9655,0.0031,8,4555.00,SPXW220118P04555000,0.28,-1.67,0.2,0.25,7031,0.4922,-0.0278,0.0027,682
Tue Jan 18 2022,SPXW220118C04560000,43.8,-59.2,40.4,41.5,491,0.5953,0.955,0.004,32,4560.00,SPXW220118P04560000,0.35,-1.9,0.3,0.4,9289,0.4735,-0.0386,0.0037,939
Tue Jan 18 2022,SPXW220118C04565000,35.55,-63.55,35.6,36.6,614,0.551,0.9432,0.0051,27,4565.00,SPXW220118P04565000,0.6,-1.95,0.45,0.5,6146,0.4559,-0.0541,0.005,1092
Tue Jan 18 2022,SPXW220118C04570000,31.38,-63.12,30.9,32,1244,0.5253,0.9163,0.007,16,4570.00,SPXW220118P04570000,0.95,-2,0.7,0.85,10174,0.4427,-0.0782,0.0068,1002
Tue Jan 18 2022,SPXW220118C04575000,26.83,-63.07,26.4,27.3,2233,0.5042,0.8762,0.0094,33,4575.00,SPXW220118P04575000,1.25,-2.1,1.1,1.25,7190,0.4357,-0.1151,0.0092,3332
Tue Jan 18 2022,SPXW220118C04580000,22.35,-63,22.3,22.7,2442,0.483,0.8167,0.0119,45,4580.00,SPXW220118P04580000,2.09,-1.71,1.75,1.9,9945,0.4308,-0.1662,0.012,1017
Tue Jan 18 2022,SPXW220118C04585000,15.9,-64.85,18.2,18.6,3321,0.4681,0.7569,0.0144,10,4585.00,SPXW220118P04585000,2.8,-1.5,2.65,2.85,4409,0.4242,-0.23,0.0148,654
Tue Jan 18 2022,SPXW220118C04590000,14.6,-61.85,14.5,14.9,5817,0.4624,0.6796,0.0165,123,4590.00,SPXW220118P04590000,4.1,-0.75,4,4.2,4920,0.4197,-0.31,0.0173,443
Tue Jan 18 2022,SPXW220118C04595000,10,-61.9,11.3,11.6,4602,0.4548,0.5946,0.0181,103,4595.00,SPXW220118P04595000,5.8,0.3,5.7,6,4169,0.4182,-0.4015,0.0189,581
Tue Jan 18 2022,SPXW220118C04600000,8.5,-59.1,8.5,8.8,15309,0.4485,0.5022,0.0188,556,4600.00,SPXW220118P04600000,7.9,1.7,7.9,8.2,7570,0.4156,-0.4978,0.0196,4176
Tue Jan 18 2022,SPXW220118C04605000,6.4,-57,6.2,6.5,4019,0.447,0.4087,0.0184,152,4605.00,SPXW220118P04605000,12.7,5.75,10.6,10.9,1561,0.4105,-0.5953,0.0191,556
Tue Jan 18 2022,SPXW220118C04610000,4.6,-54.6,4.4,4.6,8468,0.4454,0.3211,0.0168,306,4610.00,SPXW220118P04610000,15.33,7.58,13.7,14.1,1709,0.4085,-0.6874,0.0175,934
Tue Jan 18 2022,SPXW220118C04615000,2.83,-52.27,3,3.2,4365,0.4491,0.2455,0.0146,215,4615.00,SPXW220118P04615000,17.4,8.75,17.3,17.7,1081,0.3995,-0.7708,0.0151,1177
Tue Jan 18 2022,SPXW220118C04620000,2,-49.1,2.05,2.15,7447,0.4474,0.1778,0.0121,117,4620.00,SPXW220118P04620000,23.67,14.02,21.3,21.7,502,0.3919,-0.8407,0.0122,560
Tue Jan 18 2022,SPXW220118C04625000,1.35,-45.85,1.35,1.45,8838,0.4522,0.127,0.0096,1226,4625.00,SPXW220118P04625000,28.07,17.37,25.4,26.2,687,0.378,-0.879,0.0095,2480
Tue Jan 18 2022,SPXW220118C04630000,0.85,-42.5,0.8,0.9,10105,0.452,0.0855,0.0072,797,4630.00,SPXW220118P04630000,30.59,18.69,29.9,30.7,397,0.3248,-0.9202,0.007,1153
Tue Jan 18 2022,SPXW220118C04635000,0.47,-39.18,0.45,0.55,5520,0.4556,0.0566,0.0052,185,4635.00,SPXW220118P04635000,35.29,22.09,34.5,35.4,257,0,-0.9562,0.0046,371
Tue Jan 18 2022,SPXW220118C04640000,0.23,-35.82,0.25,0.35,4812,0.4552,0.035,0.0035,199,4640.00,SPXW220118P04640000,38.52,23.92,39.3,40.2,440,0,-0.9777,0.0027,705
Tue Jan 18 2022,SPXW220118C04645000,0.15,-32.45,0.15,0.2,4253,0.4593,0.0217,0.0023,180,4645.00,SPXW220118P04645000,46.92,30.72,44.2,45.1,422,0,-0.9902,0.0014,725
Tue Jan 18 2022,SPXW220118C04650000,0.1,-29.2,0.05,0.15,9701,0.4637,0.0131,0.0015,1623,4650.00,SPXW220118P04650000,51.23,33.38,49.1,50,524,0,-0.9869,0.0015,848
Tue Jan 18 2022,SPXW220118C04655000,0.07,-26.08,0.05,0.1,3266,0.4852,0.0098,0.0011,158,4655.00,SPXW220118P04655000,55.93,36.23,54.1,55,105,0,-0.9902,0.0011,276
Tue Jan 18 2022,SPXW220118C04660000,0.05,-23.15,0,0.05,4411,0.463,0.0038,0.0005,608,4660.00,SPXW220118P04660000,62.71,41.01,59.1,60,160,0,-0.9962,0.0005,766
Tue Jan 18 2022,SPXW220118C04665000,0.05,-20.35,0,0.05,3442,0.4973,0.0036,0.0004,1318,4665.00,SPXW220118P04665000,61.88,37.93,64.1,64.9,237,0,-0.9964,0.0004,547
